X,Y,ELEVATION,TIME
2110329.287,1544345.543,344.6832,580665.8549
2110175.623,1544056.407,341.5459,580680.1837
2110030.796,1543762.198,339.6808,580694.5382
2109884.537,1543468.719,338.0305,580708.8311
2109737.635,1543175.589,335.7771,580723.1416
2109591.866,1542881.972,332.9696,580737.4264
2109444.58,1542588.923,331.4347,580751.7478
2109251.352,1542351.429,328.8394,580765.8357
2109092.97,1542565.987,328.7518,580780.2326
2109232.711,1542862.312,330.0342,580794.5804
2109383.07,1543153.69,332.2602,580808.8235
2109532.109,1543445.743,334.9418,580823.1048
2109682.975,1543736.971,336.1669,580837.4711
2109833.417,1544028.257,339.1315,580851.8154
2109982.038,1544320.542,341.5116,580866.0974
2110216.294,1544398.074,342.4897,580884.8395
2110162.045,1544328.601,331.0809,580931.3598
2110128.259,1544326.282,236.3434,580985.4126
2110146.89,1544335.844,328.493,52893.6452
2110143.313,1544303.752,327.1993,52918.3631
2110169.52,1544255.129,325.7338,52942.7967
2110178.552,1544297.252,334.978,52968.694
2110420.273,1544518.955,336.4587,52978.3589
2110455.435,1544421.121,335.695,52996.4487
2110298.947,1544132.827,335.9236,53010.7537
2110142.358,1543844.598,335.9659,53024.9612
2109986.336,1543556.081,336.4989,53039.255
2109829.491,1543268.022,336.051,53053.5612
2109672.874,1542979.798,336.1155,53067.8496
2109516.539,1542691.413,336.291,53082.1693
2109359.815,1542403.262,336.2861,53096.4581
2109203.655,1542114.825,336.5603,53110.7872
2109047.287,1541826.49,336.3934,53125.0769
2108891.599,1541537.83,335.8733,53139.2785
2108718.978,1541300.165,336.6485,53155.4245
2108392.499,1541329.968,337.576,53169.0844
2108505.243,1541452.073,336.0693,53188.513
2108833.196,1541446.724,334.4767,53202.7111
2109161.16,1541440.46,334.8509,53216.9167
2109489.116,1541433.537,334.593,53231.1857
2109817.089,1541427.543,335.4234,53245.4186
2109976.493,1541638.31,336.3214,53261.651
2109803.399,1541754.586,337.1538,53278.595
2109475.425,1541760.243,337.1617,53292.7876
2109147.456,1541765.058,337.3058,53306.9924
2108819.497,1541769.774,336.7772,53321.3135
2108491.582,1541776.344,336.9634,53335.6434
2108646.508,1541895.59,336.3308,53354.8011
2108974.468,1541891.355,335.5846,53369.0393
2108981.746,1541703.602,336.7651,53386.3334
2108825.032,1541415.442,337.1124,53400.633
2108670.417,1541126.164,337.2449,53414.8759
2108513.103,1540838.357,337.0905,53429.2918
2108356.922,1540549.904,337.4196,53443.6363
2108200.599,1540261.525,337.4832,53457.8999
2108043.783,1539973.445,338.0693,53472.2215
2107887.854,1539684.89,338.083,53486.4557
2107732.202,1539396.162,337.7504,53500.7094
2107575.595,1539107.922,337.8843,53514.9986
2107276.701,1539148.092,338.0491,53531.1798
2107363.41,1539402.587,337.2962,53548.6082
2107520.442,1539690.558,337.3879,53562.9537
2107676.323,1539979.157,337.3348,53577.2768
2107831.55,1540268.126,337.4465,53591.5937
2107988.314,1540556.253,337.4218,53606.0216
2108144.342,1540844.687,338.2395,53620.206
2108300.828,1541132.941,338.295,53634.3935
2108456.827,1541421.457,338.0219,53648.8492
2108612.557,1541710.073,338.0215,53663.0699
2108769.955,1541997.857,337.7607,53677.3402
2108925.412,1542286.703,337.8286,53691.6635
2109081.699,1542575.104,337.9371,53705.9854
2109238.167,1542863.382,338.5514,53720.2776
2109395.059,1543151.398,338.7713,53734.5688
2109550.827,1543440.068,339.0903,53748.8737
2109707.026,1543728.502,338.5078,53763.2601
2109863.299,1544016.907,338.8175,53777.5063
2110019.559,1544305.314,338.8409,53791.8595
2110175.359,1544593.94,338.9927,53806.0713
2110237.963,1544541.736,327.1786,53831.3255
2110147.9,1544302.723,265.415,53855.8649
2101432.128,1560032.398,334.7079,128658.6433
2101416.928,1560062.575,334.5324,128676.6224
2101414.001,1560032.918,334.7111,128695.0209
2101414.479,1559910.469,335.5416,128712.9921
2101206.885,1559656.484,336.0587,128722.8265
2100997.269,1559404.147,336.3092,128732.7946
2100788.65,1559150.986,336.3036,128742.7749
2100579.428,1558898.319,336.3983,128752.7954
2100370.446,1558645.454,336.3555,128762.776
2100161.95,1558392.195,336.3672,128772.7295
2099953.166,1558139.168,336.4056,128782.7465
2099840.601,1558314.61,335.6023,128799.5056
2099796.652,1558639.687,335.7329,128813.816
2099752.194,1558964.702,335.7804,128828.1149
2099708.911,1559289.874,335.9239,128842.4161
2099665.615,1559615.048,335.971,128856.6951
2099621.658,1559940.118,336.2467,128871.0046
2099578.127,1560265.255,336.4819,128885.3187
2099533.968,1560590.312,336.3616,128899.6132
2099524.744,1560875.959,335.6846,128917.3675
2099834.069,1560825.866,335.612,128933.0546
2099877.894,1560501.695,336.1722,128947.6165
2099921.27,1560176.54,336.3801,128961.9002
2099965.55,1559851.499,336.4264,128976.2009
2100009.74,1559526.452,336.5224,128990.4914
2100052.29,1559201.184,336.5881,129004.818
2100096.088,1558876.082,336.7019,129019.1103
2100140.999,1558551.132,336.6755,129033.42
2100182.991,1558225.798,336.9857,129047.7077
2100228.326,1557900.906,336.7846,129062.0058
2100271.855,1557575.767,336.9943,129076.297
2100459.154,1557317.758,335.6797,129090.8759
2100667.843,1557087.034,335.4325,129107.7872
2100625.178,1557412.25,336.28,129122.8987
2100580.116,1557737.173,336.3487,129137.2059
2100536.829,1558062.326,336.3749,129151.5326
2100494.026,1558387.552,336.4693,129165.8306
2100450.071,1558712.624,336.5704,129180.1701
2100406.813,1559037.792,336.6642,129194.4859
2100363.378,1559362.93,336.8193,129208.8435
2100320.149,1559688.113,336.7431,129223.1029
2100276.269,1560013.208,336.7684,129237.4284
2100232.219,1560338.272,336.8253,129251.7537
2100188.459,1560663.371,336.8999,129266.0289
2100376.128,1560639.571,335.2032,129283.8496
2100553.612,1560408.976,336.0952,129299.0071
2100597.67,1560083.913,336.644,129313.2438
2100640.966,1559758.741,336.7967,129327.541
2100683.895,1559433.519,336.87,129341.8271
2100727.503,1559108.392,336.8053,129356.1394
2100771.014,1558783.251,337.0015,129370.4448
2100813.522,1558457.976,337.0457,129384.7553
2100857.064,1558132.844,337.1202,129399.0389
2100900.904,1557807.748,337.0782,129413.3376
2100944.414,1557482.604,337.111,129427.6467
2101010.567,1557198.13,336.4131,129445.0229
2101306.326,1557253.163,336.4538,129461.7707
2101266.405,1557578.681,336.6418,129475.7494
2101222.024,1557903.703,336.4894,129490.0262
2101177.896,1558228.762,336.5244,129504.3454
2101134.482,1558553.911,336.6597,129518.654
2101090.81,1558879.026,336.9831,129532.9565
2101046.426,1559204.041,337.0717,129547.2821
2101002.603,1559529.141,337.2332,129561.6047
2100958.644,1559854.219,337.3499,129575.8977
2100914.041,1560179.213,337.3767,129590.1911
2100912.512,1560459.445,336.5843,129607.756
2101208.655,1560436.183,336.7581,129624.2355
2101256.206,1560111.661,337.2903,129638.2117
2101300.099,1559786.569,337.3968,129652.5049
2101344.22,1559461.513,337.3638,129666.7919
2101387.147,1559136.293,337.5359,129681.0866
2101431.661,1558811.288,337.5184,129695.3797
2101474.407,1558486.05,337.5275,129709.7025
2101518.278,1558160.96,337.4172,129724.0333
2101562.114,1557835.865,337.5551,129738.342
2101605.723,1557510.74,337.5575,129752.6437
2101649.931,1557185.69,337.5343,129766.9586
2101754.483,1556946.551,336.7439,129784.1131
